CharacterName,Class,Lev,StageIdx,PositionX,PositionY
player424,4,50,101003010,-1165.04,17189.6
player425,4,80,100002010,8512.94,-10489.9
player426,5,25,101003010,-2088.84,17089.7
player427,1,20,201003010,-3800.69,6506.55
player428,2,1,100002010,2934.26,8127.4
player429,1,3,100002010,3060.13,-2621.54
player430,3,2,100002010,476.955,-3163.49
player431,1,3,100002010,-314.177,11312.1
player432,1,4,100002010,3438.08,8708.05
player433,3,1,100002010,-594.699,-371.909
player434,2,2,100002010,-1979.24,7418.15
player435,5,2,100002010,-8079.38,-11631.7
player436,5,7,101003010,21004.2,15006.5
player437,5,1,100002010,10330,-6740
player438,1,13,101003020,-673.804,3044.66
player439,3,1,100002010,8644.85,-10370.9
player440,5,21,101001010,-1550,-4110
player441,3,30,101003020,-2065.09,3553.92
player442,5,1,100002010,8867.3,-10934.3
player443,2,4,100002010,8119.92,4791.55
player444,1,2,100002010,689.989,-2526.88
player445,3,30,101003030,-8923.29,-21848.2
player446,1,10,101003010,17700,3094.51
player447,3,1,100002020,1926.47,4672.87
player448,3,1,100002010,10330,-6740
player449,3,4,101003010,-3925,17150
player450,3,3,101003010,-4121.48,17068.1
player451,1,9,101003010,-8623,-5936.5
player452,3,1,100002020,-973.728,-8084.77
player453,3,5,101003010,-3925,17150
player454,4,4,100002010,7800.12,3678.99
player455,3,1,100002010,10330,-6740
player456,1,1,100002010,8991.99,-9699.06
player457,1,1,100002010,10330,-6740
player458,1,11,101001010,-1600,4360
player459,2,1,100002010,10330,-6740
player460,2,7,101003010,17004.5,19087.6
player461,5,1,100002010,-1810,290
player462,1,12,101003020,4342.85,-50.0014
player463,1,10,101003010,20376.5,-8784.06
player464,5,10,101005010,193.355,4765.3
player465,1,100,104004050,-12269.6,7510.07
player466,1,11,101001010,-1601.81,4360.75
player467,1,3,100002010,-1229.71,6304.51
player468,1,7,101003010,11256,17644
player469,2,7,101003010,15722,10377.4
player470,1,11,101005020,-460.616,1785.89
player471,2,22,101003010,15559.4,-21535.2
player472,1,15,101003010,-5812.31,-9342.64
player473,4,15,101003010,-5860.43,-9296.18
player474,2,51,101001010,736.075,-3747.05
player475,1,40,100002010,10330,-6740
player476,3,25,100002010,10330,-6740
player477,3,10,101001010,233.424,-3471.27
player478,3,10,100002010,10330,-6740
player479,5,10,101001010,1053.92,-3931.49
player480,4,12,101003010,-4525.79,-22545.7
player481,2,1,100002010,277.054,-1326.56
player482,1,3,100002010,5297.06,-7489.31
player483,2,4,100002012,60.3102,-2036.19
player484,4,4,100002012,-7451.4,8744.22
player485,5,31,100002010,2941.51,-3194.51
player486,3,8,101003010,3470.33,11223.9
player487,1,7,101003010,-3093.16,18312.8
player488,2,1,100002010,8175.7,-10780.2
player489,2,6,100002020,4687.72,11422.3
player490,2,6,101003010,-17437.2,20614
player491,5,2,100002010,-11354,-11401.2
player492,5,1,100002010,2187.91,6047.96
player493,5,1,100002010,10330,-6740
player494,5,3,100002010,3082.02,-2592.12
player495,1,1,100002010,-996.154,-410.115
player496,1,1,100002010,-1810,290
player497,1,1,100002010,8638.27,-10383.9
player498,3,1,100002010,2820,-3750
player499,5,3,100002010,4168.97,-2163.77
player500,1,1,100004010,10025.9,17623.5
player501,1,1,100004010,1538,17734
player502,1,8,101003010,-10077.4,4926.01
player503,1,1,100004010,5157.9,17382.5
player504,1,1,100004010,3330.34,16795.2
player505,1,16,101001010,2117.56,-4847.36
player506,1,11,101003010,-4671.18,-16897.1
player507,2,10,101003010,15216.5,-14943.8
player508,1,140,100004010,5599.66,17656.3
player509,5,3,100002010,-2287,-1707
player510,3,9,101003010,19281.3,4115.38
player511,3,11,101003010,-6576.08,-17253.3
player512,1,9,101003010,-16242.7,-10757.8
player513,4,6,101003010,-10057,17248.3
player514,1,2,100004020,-1515.32,-182.848
player515,1,51,101003030,12261.8,-42425.2
player516,3,1,100004010,12067.6,16671.3
player517,3,21,101003010,-12601.1,2247.03
player518,3,16,101001010,1802.92,-4176.03
player519,1,1,100004010,11722,16741
