date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:40	78993/78993	---M--	200	added ('OK')	image/png	etag:%223534d4f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/main/bg_search.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/bg_search.png	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:41	1837/1837	---M--	200	added ('OK')	image/gif	etag:%22d1dedd4f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/main/diction_thumb.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/diction_thumb.gif	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:42	1619/1619	---M--	200	added ('OK')	image/gif	etag:%223b7b2ad4f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/main/bg_search_txt.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/bg_search_txt.gif	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:43	2230/2230	---M--	200	added ('OK')	image/png	etag:%221837c9c5f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/common/ic_ranking.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/common/ic_ranking.png	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:50	44918/44918	---M--	200	added ('OK')	image/png	etag:%226010c2c5f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/common/mnavigation_new.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/common/mnavigation_new.png	(from https://mir2.mironline.co.kr/sitelib/contents_new.css)
19:10:51	586/586	---M--	200	added ('OK')	image/gif	etag:%22c1ee1c5f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/common/bg_selectbox.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/common/bg_selectbox.gif	(from https://mir2.mironline.co.kr/sitelib/contents_new.css)
19:10:52	924/924	---M--	200	added ('OK')	image/png	etag:%222fc170f3f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/common/img/blank.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/common/img/blank.png	(from http://web-cdn.mironline.co.kr/mir2/2016_event/cash_shop/shop_contents2.css)
19:10:54	7347/7347	---M--	200	added ('OK')	image/png	etag:%22a62beadbf6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2016_event/cash_shop/images/notice.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2016_event/cash_shop/images/notice.png	(from http://web-cdn.mironline.co.kr/mir2/2016_event/cash_shop/shop_contents2.css)
19:11:10	360323/360323	---M--	200	added ('OK')	image/png	etag:%22c1ee1c5f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/common/gameInfo.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/common/gameInfo.png	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:11:41	297546/297546	---M--	200	added ('OK')	image/png	etag:%227f1434dcf6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2016_event/cash_shop/images/coin_pop.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2016_event/cash_shop/images/coin_pop.png	(from http://web-cdn.mironline.co.kr/mir2/2016_event/cash_shop/shop_contents2.css)
19:11:49	11168/11168	---M--	200	added ('OK')	text/css	etag:W/%2211168-1677724562000%22	https://mir2.mironline.co.kr/sitelib/common.css	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/common.css	(from https://mir2.mironline.co.kr/community/mir2noticeAll)
19:11:50	37284/37284	---M--	200	added ('OK')	text/css	etag:W/%2237284-1677724562000%22	https://mir2.mironline.co.kr/sitelib/contents.css	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/contents.css	(from https://mir2.mironline.co.kr/community/mir2noticeAll)
19:11:57	297071/297071	---M--	200	added ('OK')	image/png	etag:%22ed299dcf6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2016_event/cash_shop/images/item_pop.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2016_event/cash_shop/images/item_pop.png	(from http://web-cdn.mironline.co.kr/mir2/2016_event/cash_shop/shop_contents2.css)
19:11:58	765421/765421	---M--	200	added ('OK')	image/png	etag:%2243f4ed4f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/main/bg_top.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/bg_top.png	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:11:58	9191/9191	---M--	200	added ('OK')	text/javascript	etag:W/%229191-1677724562000%22	https://mir2.mironline.co.kr/sitelib/jquery.verticalRolling.js	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/jquery.verticalRolling.js	(from https://mir2.mironline.co.kr/community/mir2noticeAll)
19:12:05	8873/8873	---M--	200	added ('OK')	text/javascript	etag:W/%228873-1677724562000%22	https://mir2.mironline.co.kr/sitelib/jQuery.formSelectbox.js	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/jQuery.formSelectbox.js	(from https://mir2.mironline.co.kr/community/mir2noticeAll)
19:12:13	5246/5246	---M--	200	added ('OK')	text/javascript	etag:W/%225246-1677724562000%22	https://mir2.mironline.co.kr/sitelib/jQuery.modal.js	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/jQuery.modal.js	(from https://mir2.mironline.co.kr/community/mir2noticeAll)
19:12:19	5523/5523	---M--	200	added ('OK')	text/javascript	etag:W/%225523-1677724562000%22	https://mir2.mironline.co.kr/sitelib/sub_ui.js	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/sub_ui.js	(from https://mir2.mironline.co.kr/community/mir2noticeAll)
19:12:25	5126/5126	---M--	200	added ('OK')	text/javascript	etag:W/%225126-1677724562000%22	https://mir2.mironline.co.kr/sitelib/ranking.js	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/ranking.js	(from https://mir2.mironline.co.kr/community/mir2noticeAll)
